reg_date,china_p,peru_p,sale_p,"freeze,fus_p","freeze,fus,simmer_p","freeze,fin_p",china_sale_p,peru_sale_p,p_price
2016-07-04,1.72,5.99,1.926666667,1.08,3.716666667,0.85,1.4725,5.99,1.9
2016-07-11,0.92,2.5,0.972,1,3.42,0.85,0.92,0,1.408571429
2016-07-18,1.06,3.7125,1.7125,1.035,5.795,0.996666667,1.06,2.833333333,2.099
2016-07-25,0,0,1.9475,1.2,3.1,2.43,0,0,1.9475
2016-08-01,1.02,2.83,1.17,1.115,4.06,0.84,1.02,1.6,1.651666667
2016-08-08,0,3.2925,2.071666667,1.22,5.07,0.85,0,3.08,2.337142857
2016-08-15,1.705,2.507142857,1.865454545,1.085,4.66,0.896666667,1.705,2.5825,1.981428571
2016-08-22,0,2.891666667,1.91,1.21,6.13,0.906666667,0,2.5175,2.294444444
2016-08-29,0,4.843333333,2.165,1.26,5.736666667,0.88,0,4.07,2.883333333
2016-09-05,0,3.44,2.02,1.16,5.213333333,0.84,0,2.893333333,2.521818182
2016-09-12,0,3.32,1.584,1.34,4.365,0.88,0,2.29,2.105714286
2016-09-19,1.16,3.45,1.97,1.25,4.996666667,0.835,1.16,3.003333333,2.252
2016-09-26,0,3.9625,2.18,1.23,5.59,0.95,0,3.403333333,2.71
2016-10-03,1.65,6.37,2.52,1.435,6.37,0.94,1.65,7.52,2.695714286
2016-10-10,1.1,3.77,1.92125,1.22,6.555,0.943333333,1.1,3.143333333,2.217
2016-10-17,2.4,6.66,3.12,1.37,6.66,0.91,2.4,8.4,3.1425
2016-10-24,1.43,3.9675,2.058571429,1.24,7.26,0.93,1.43,3.19,2.422222222
2016-10-31,1.555,3.87,2.301111111,1.4,6.82,0.88,1.555,3.436666667,2.588
2016-11-07,2.72,4.005,2.665714286,1.26,6.73,0.97,2.72,4.005,2.665714286
2016-11-14,1.735,4.306666667,2.221,1.4,5.935,1.165,1.735,4.245,2.421818182
2016-11-21,2.292,2.1375,1.75,1.6575,4.415,1.123333333,2.292,1.17,1.91
2016-11-28,2.405,5.33,2.530909091,1.64,4.58,1.175,2.405,7,2.625
2016-12-05,2.428,4.13,2.475,1.14,5.1,1.09,2.305,3.665,2.778
2016-12-12,2.124,2.568,2.056666667,1.16,4.48,1.0375,2.124,2.613333333,2.12
2016-12-19,2.15,1.09,1.7775,1.455,4.26,1.0575,2.15,1.09,1.734615385
2016-12-26,2.532,4.04,2.404166667,1.9,5.166666667,1.295,2.532,3.555,2.604615385
2017-01-01,2.063333333,2.87,2.153,2.235,6.385,1.033333333,2.063333333,2.913333333,2.308461538
2017-01-06,1.455,3.9475,2.17375,1.665,6.83,1.1,1.455,3.456666667,2.534444444
2017-01-16,1.956666667,3.25,2.175454545,1.403333333,5.116666667,1.253333333,1.956666667,3.22,2.347692308
2017-01-23,1.72,4.1425,2.105555556,1.435,7.14,1.193333333,1.72,3.213333333,2.588
2017-01-30,1.49,3.196,1.83,1.615,6.045,1.265,1.49,2.776666667,2.136923077
2017-02-06,0,3.52,2.56,1.54,6.82,1.23,0,3.753333333,2.7125
2017-02-13,0,3.256666667,2.363333333,1.57,7.41,1.215,0,3.256666667,2.363333333
2017-02-20,3.075,3.253333333,2.513333333,1.45,5.41,1.16,3.075,3.253333333,2.513333333
2017-02-27,1.49,3.4525,1.78,1.32,5.72,1.1575,1.49,2.566666667,2.213
2017-03-06,2.15,3.665,2.3,1.51,6.145,1.215,2.15,3.346666667,2.532
2017-03-13,2.075,3.1525,1.9925,1.44,5.135,1.19,2.075,2.536666667,2.326666667
2017-03-20,2.1525,2.926,2.046,2.023333333,5.425,1.2,1.99,2.5325,2.3
2017-03-27,2.405,5.085,2.673333333,1.42,7.44,1.18,2.806666667,3.746666667,3.123636364
2017-04-03,1.6875,3.1725,2.114545455,1.49,5.24,1.44,1.6875,3.006666667,2.244166667
2017-04-10,1.74,3.91,2.109,1.335,6.66,1.17,1.74,2.85,2.561818182
2017-04-17,1.846666667,3.25,2.386,1.295,7.41,1.2675,1.846666667,4.325,2.269090909
2017-04-24,3,3.5525,2.43125,1.57,6.03,1.16,3,3.043333333,2.683
2017-05-01,0,2.355,1.921428571,1.59,5.13,1.23,0,2.355,1.921428571
2017-05-08,2.095,3.5375,2.106666667,1.3,5.91,1.215,2.99,2.8,2.487777778
2017-05-15,1.6975,4.955,2.47125,1.786666667,8.85,1.71,1.863333333,4.955,2.33
2017-05-22,2.82,2.41,1.908888889,1.51,3.6,1.175,2.82,1.996666667,2.083
2017-05-29,2.705,3.306,2.616666667,1.49,5.86,1.415,2.705,3.64,2.650909091
2017-06-05,3.01,2.8825,2.506,1.53,7.43,1.19,3.01,2.8825,2.506
2017-06-12,2.125,2.404,1.902222222,1.59,5.91,1.135,2.125,1.14,2.238333333
2017-06-19,3.265,3.12,2.356666667,1.745,5.12,1.446666667,3.265,2.51,2.487692308
2017-06-26,3.33,4.405,2.886666667,2.14,7.27,1.31,3.33,4.405,2.886666667
2017-07-03,3.22,2.748333333,2.739166667,1.58,5.263333333,1.225,3.22,2.8725,2.705
2017-07-10,2.753333333,3.385,2.453,2.525,5.485,1.28,2.753333333,2.476666667,2.785454545
2017-07-17,3.16,3.504,2.915555556,1.6,6.87,1.215,3.16,3.576666667,3.002727273
2017-07-24,1.923333333,3.186666667,2.298,1.575,6.98,1.506666667,1.923333333,3.186666667,2.298
2017-07-31,2.02,2.715714286,2.115555556,1.49,5.835,1.26,2.02,2.6925,2.355384615
2017-08-07,3.275,3.862,2.595555556,2.295,7.78,1.175,3.275,2.916666667,3.083636364
2017-08-14,3.19,5.376666667,3.058333333,1.53,7.4,1.335,3.19,5.34,3.4
2017-08-21,3.176666667,3.6725,2.578888889,2.305,4.843333333,1.445,3.176666667,3.046666667,2.876
2017-08-28,2.515,2.511666667,2.45,1.89,8.01,1.5075,2.515,3.16,2.26
2017-09-04,2.45,3.08,2.557,1.625,6.57,1.275,2.45,3.08,2.557
2017-09-11,3.185,3.5225,2.5425,1.62,5.59,1.38,3.185,3.183333333,2.875
2017-09-18,2.365,4.016666667,2.698888889,1.595,9.12,1.405,2.365,4.016666667,2.698888889
2017-09-25,1.666666667,5.13,2.4925,1.585,8.77,1.3,1.666666667,5.13,2.501111111
2017-10-09,2.47,3.3825,2.421428571,1.62,5.365,1.37,2.47,3.72,2.56
2017-10-16,2.21,4.056666667,2.69625,1.685,8.75,1.51,2.21,4.056666667,2.69625
2017-10-23,1.42,3.1,1.533333333,1.675,4.9,1.56,1.42,1.3,2.014285714
2017-10-30,2.88,2.9,2.358571429,1.815,3.55,1.31,2.88,2.9,2.358571429
2017-11-06,2.47,2.853333333,2.447777778,1.84,4.48,1.87,2.47,2.853333333,2.447777778
2017-11-13,1.97,1.89,2.121666667,1.795,0,2.015,1.97,1.89,2.121666667
2017-11-20,3.06,0,2.676666667,1.925,0,1.965,3.06,0,2.676666667
2017-11-27,2.536666667,0,2.536666667,1.79,0,2.26,2.536666667,0,2.536666667
2017-12-04,2.362,0,2.151111111,2.095,0,2.093333333,2.3475,0,2.178
2017-12-11,3.081428571,0,2.575555556,2.273333333,6.09,1.82,3.242,0,2.594545455
2017-12-18,2.792,0,2.506363636,2.16,5,1.97,2.672857143,0,2.627142857
2017-12-25,3.58,8.04,4.11125,2.02,6.25,2.73,3.55,8.04,4.026
2018-01-01,3.70625,2.765,2.972222222,2.635,5.743333333,2.3,3.166666667,2.765,3.4
2018-01-08,3.075,4.3725,3.052307692,2.245,5.3225,2.425,3.075,3.67,3.297142857
2018-01-15,2.2575,4.458333333,2.983636364,2.4075,8.03,2.116,2.032,4.5075,3.09
2018-01-22,2.88875,3.59,2.841333333,2.555,5.995,2.376666667,2.93,3.59,2.832352941
2018-01-29,2.383333333,4.745,3.126,2.07,8.57,2.53,2.418,4.2975,3.442307692
2018-02-05,2.6925,3.86,3.307272727,2.095,8.55,2.43,2.951666667,4.2225,3.044285714
2018-02-12,3.6675,5.096666667,3.963333333,2.11,6.436666667,2.55,2.83,5.096666667,4.28
2018-02-19,2.505,4.278,3.147142857,1.97,6.915,2.58,2.505,4.003333333,3.49
2018-02-26,0,7.145,4.6525,2.3,11.95,2.18,0,7.145,4.6525
2018-03-05,3.435,4.813333333,3.525,2.35,6.835,2.345,3.435,4.813333333,3.525
2018-03-12,2.52,5.514285714,3.487777778,2.54,11.06,2.045,2.52,4.895,4.200833333
2018-03-19,3.5975,5.41,3.478,2.68,10.02,2.54,3.796666667,4.29,3.996923077
2018-03-26,2.385,4.19,3.163333333,2.36,7.69,2.185,2.94,4.1025,3.146875
2018-04-02,2.7525,3.718333333,3.082727273,2.43,6.95,2.226666667,3.07,3.23,3.221428571
2018-04-09,3.198333333,4.26,3.306153846,2.848,7.96,2.83,3.292,4.0875,3.4325
2018-04-16,2.983333333,3.998,3.131111111,2.535,7.03,2.36,2.983333333,3.836666667,3.332727273
2018-04-23,2.895,3.634,3.072,2.426666667,5.695,2.355,2.895,3.325,3.235454545
2018-04-30,2.45,4.026,3.201,2.445,6.16,2.08,2.785,3.7225,3.2525
2018-05-07,2.77,3.178571429,2.8375,2.463333333,5.87,2.215,2.77,2.836,3.008571429
2018-05-14,3.16,3.0825,2.948888889,2.606666667,6.64,2.21,3.16,3.0825,2.948888889
2018-05-21,3.345,2.985,2.979,2.72,5.53,2.113333333,3.345,3.052,2.957857143
2018-05-28,3.7,3.405,3.151,2.483333333,6.165,2.265,3.7,3.135,3.283333333
2018-06-04,3.74,3.185,3.15,2.58,5.58,2.09,3.74,3.173333333,3.162727273
2018-06-11,3.75,4.316,3.17,2.375,6.33,2.345,3.75,3.1225,3.708181818
2018-06-18,3.376666667,2.985714286,3.059090909,2.67,4.733333333,2.196666667,3.376666667,3.24,2.970714286
2018-06-25,2.755,3.428333333,2.732,2.38,6.015,2.21,2.755,2.816,3.073636364
2018-07-02,2.73,3.725,3.221111111,2.315,5.675,2.17,2.73,3.64,3.297
2018-07-09,3.29,3.556,2.978,3.37,6.055,2.155,3.29,3.52,3.200769231
2018-07-16,3.95,3.658333333,3.514,2.53,6.186666667,2.096666667,3.95,3.435,3.6125
2018-07-23,3.193333333,3.891666667,3.075454545,2.786666667,7.45,2.155,3.193333333,3.435,3.375
2018-07-30,2.99,3.012,3.0125,2.44,6.19,2.095,2.99,3.012,3.0125
2018-08-06,3.03,3.901428571,3.239285714,2.52,6.97,2.215,3.03,3.088,3.57625
2018-08-13,2.77,4.162,2.7925,2.32,7.265,2.285,2.77,3.0275,3.448888889
2018-08-20,3.59,3.576666667,3.226666667,2.51,6.065,2.165,3.59,3.525,3.309090909
2018-08-27,2.64,4.732,3.348,2.5275,7.975,2.1,3.085,3.925,3.599166667
2018-09-03,2.745,4.042,3.067777778,2.54,6.195,2.3,2.745,3.6275,3.331
2018-09-10,3,4.33,3.117777778,2.445,6.415,2.345,3,3.896666667,3.369
2018-09-17,3.046666667,4.902857143,3.395384615,2.51,10.805,2.325,3.046666667,3.746,3.982
2018-09-24,3.28,1.95,2.821666667,2.63,0,2.39,3.28,1.95,2.821666667
2018-10-01,3.153333333,3.9875,3.058,2.57,5.7,2.11,3.153333333,3.423333333,3.296363636
2018-10-08,3.01,5,3.071428571,2.51,5,2.35,2.98,5,3.075
2018-10-15,2.895,4.6,3.14,2.603333333,5.725,2.28,2.835,4.34,3.419090909
2018-10-22,3.09,3.87,3.02625,2.8725,5.71,2.455,2.955,3.573333333,3.22
2018-10-29,3.155,4.603333333,3.401666667,2.68,5.675,0,3.155,4.075,3.724285714
2018-11-05,3.706,2.475,3.448888889,2.673333333,0,2.4,3.8075,2.475,3.434
2018-11-12,2.87,6.5,2.655,3.035,6.5,2.28,2.87,0,3.204285714
2018-11-19,2.583333333,4.573333333,3.034444444,2.245,5.695,2.405,2.583333333,4.035,3.296
2018-11-26,3.315,3.92,3.586,0,5.62,2.22,3.363333333,3.92,3.516666667
2018-12-03,3.072,5.005,3.543333333,3.55,7,2.69,3.072,5.005,3.543333333
2018-12-10,3.551666667,3.603333333,3.300833333,3.66,6.3,2.4,3.168,3.603333333,3.467692308
2018-12-17,3.285,4.08,3.275,3.34,5.86,2.475,2.946666667,4.08,3.421428571
2018-12-24,2.8375,3.793333333,3.35875,2.57,6.78,2.22,2.8375,3.793333333,3.35875
2018-12-31,2.886666667,0,2.876666667,2.885,0,2.36,2.886666667,0,2.876666667
2019-01-07,3.443333333,2.21,3.144,3.69,0,2.21,3.443333333,2.21,3.144
2019-01-14,3.17,4.055,3.403333333,3.6,6,2.11,3.17,4.055,3.403333333
2019-01-21,3.244,4,2.693333333,4.02,4.48,2.3,3.1,2.3,3.069090909
2019-01-28,2.8725,0,2.852,3.02,0,0,2.8725,0,2.852
2019-02-04,2.91,0,2.91,0,0,0,2.91,0,2.91
2019-02-11,3.295,3.706,3.2825,2.545,6.125,1.98,3.295,3.27,3.523333333
2019-02-18,3.485,3.234285714,2.76625,2.77,5.32,2.08,3.485,2.632,3.161
2019-02-25,3.45,3.086666667,3.45,0,5.94,1.92,3.45,3.086666667,3.45
2019-03-04,2.496666667,2.867142857,2.555555556,2.245,5.23,1.91,2.496666667,2.585,2.756
2019-03-11,3.99,2.785,3.216666667,2.925,5.31,2.04,4.08,2.785,3.301428571
2019-03-18,3.115,2.663333333,2.903333333,3.28,4.31,1.88,3.115,2.202,3.062307692
2019-03-25,3.12,3.211428571,3.084545455,1.96,5.776666667,2.003333333,3.12,3.042,3.169230769
2019-04-01,2.385,2.8,2.894285714,2.8,5.21,1.73,2.385,2.72,2.908888889
2019-04-08,2.416666667,3.118333333,2.798888889,2.275,5.37,1.78,2.416666667,2.694,3.043
2019-04-15,3.41,3.044,2.88,2.27,4.765,1.8,3.41,2.615,3.148571429
2019-04-22,2.886666667,3.161666667,3,2.115,5.14,1.76,2.886666667,2.6825,3.224
2019-04-29,3.106666667,2.502,3.105555556,2.165,4.42,1.7,3.106666667,2.7025,2.965
2019-05-06,2.645,3.085,2.638181818,2.23,4.55,1.72,2.645,2.7,2.835833333
2019-05-13,3.202,3.331666667,3.344,2.36,5.403333333,1.916666667,3.202,3.185,3.390833333
2019-05-20,2.86,3.161666667,2.585714286,2.14,5.925,1.785,2.86,2.425,3.041111111
2019-05-27,2.2825,3.418,2.792222222,2.235,5.74,1.8,2.2825,3.19,2.946
2019-06-03,3.015,3.106,2.822857143,2.26,4.995,1.79,3.015,2.5625,3.13
2019-06-10,3.612,3.142,3.350714286,2.3,7.29,1.89,3.612,3.2525,3.284375
2019-06-17,2.825,2.926,2.977647059,2.296666667,4.115,1.796666667,2.825,2.926,2.977647059
2019-06-24,2.632,3.738333333,2.74875,2.386666667,5.186666667,1.91,2.632,2.934,3.043529412
2019-07-01,3.16,3.44,2.651538462,3.055,5.49,1.97,2.866666667,3.1525,2.89125
2019-07-08,2.763333333,3.155,2.946666667,2.453333333,6,2.125,2.935,3.155,2.906153846
2019-07-15,2.678,3.665,2.97875,2.47,6.215,2.055,2.678,3.142,3.172941176
2019-07-22,2.573333333,3.285,3.072857143,2.736666667,6.43,2.13,2.573333333,3.285,3.072857143
2019-07-29,2.75,3.1625,2.69,2.53,5.94,2.16,2.75,3.1625,2.726923077
2019-08-05,4.14,3.08,2.946666667,2.73,5.45,2.095,4.14,3.08,2.96
2019-08-12,2.54,3.248,2.599,2.5,4.87,2.183333333,2.54,2.935,2.771818182
2019-08-19,2.556,3.0325,2.599230769,2.536666667,5.12,2.06,2.556,3.0325,2.599230769
2019-08-26,2.433333333,3.632,2.854166667,2.44,5.74,2.01,2.433333333,3.4375,2.96
2019-09-02,2.2825,3.034,2.601666667,2.466666667,4.385,2.09,2.2825,2.7375,2.726153846
2019-09-09,2.986666667,3.656,2.673,2.503333333,5.895,1.96,2.986666667,2.8825,3.043636364
2019-09-16,2.675,2.6275,2.72,2.42,4.1,2,2.675,2.6275,2.72
2019-09-23,2.3675,2.982,2.495,2.293333333,3.483333333,2.005,2.3675,2.8525,2.572307692
2019-09-30,2.376666667,3.204,2.525454545,2.375,4.91,1.855,2.376666667,3.0125,2.7
2019-10-07,2.88,3.06,2.565,2.46,4.47,1.963333333,2.88,2.6475,2.748125
2019-10-14,2.915,2.46,2.409230769,2.47,3.385,1.886666667,2.915,2.063333333,2.497857143
2019-10-21,2.6875,2.565,2.431818182,2.176666667,4.4,1.66,2.6875,2.565,2.431818182
2019-10-28,3.166666667,3.45,2.835,2.285,6.4,1.986666667,3.166666667,3.45,2.835
2019-11-04,2.806,2.8475,2.655384615,2.383333333,4.87,1.82,2.806,2.8475,2.655384615
2019-11-11,2.33,2.546666667,2.288181818,2.4,3.9,1.903333333,2.33,2.546666667,2.288181818
2019-11-18,2.9725,1.843333333,2.435,2.33,0,1.81,2.9725,1.89,2.372727273
2019-11-25,2.806,2.46,2.413,2.4,3.95,1.716666667,2.45,2.46,2.578181818
2019-12-02,2.82,2.448,2.516,2.46,3.8,1.625,2.82,2.713333333,2.438333333
2019-12-09,3.505,2.78,2.796,2.676666667,3.66,1.575,3.505,2.53,2.885454545
2019-12-16,3.094,1.945,2.769,2.42,3.16,2.1075,3.094,1.945,2.769
2019-12-23,3.596666667,2.643333333,2.977777778,2.84,3.87,1.745,3.596666667,2.643333333,2.977777778
2019-12-30,3.2025,3.25,2.905,2.813333333,3.993333333,1.78,3.2025,3.144,2.953571429
2020-01-06,3.196666667,2.6775,2.573571429,2.3725,4,1.83,2.958,2.6775,2.694666667
2020-01-13,3.425,2.716,2.995833333,2.79,4.06,1.765,3.425,2.85,2.933076923
2020-01-20,3.1725,3.073333333,2.9325,2.51,5.39,2.206666667,3.1725,3.073333333,2.9325
2020-01-27,3.165,2.634,2.573,2.45,3.93,1.63,3.165,2.634,2.573
2020-02-03,1.117,3.293333333,2.8634,2.13,5.69,0,1.117,3.293333333,2.8634
2020-02-10,0,3.183333333,2.915,2.11,3.72,0,0,2.915,3.183333333
2020-02-17,4.39,2.5475,2.66,2.02,3.8,1.57,4.39,1.795,2.916
2020-02-24,2.775,2.5375,2.419166667,2.216666667,3.8,1.996666667,2.775,2.5375,2.419166667
2020-03-02,3.155,3.182,2.853,2.483333333,4.445,1.85,3.155,2.7125,3.053636364
2020-03-09,3.125,2.998333333,2.626,2.563333333,4.15,1.8,3.125,2.838,2.73
2020-03-16,3.526666667,2.66,2.6075,3.2,3.345,1.705,3.526666667,2.09,2.74
2020-03-23,3.42,1.9,2.357142857,2.46,0,1.57,3.42,1.9,2.357142857
2020-03-30,2.31,2.25,2.06,2.065,0,1.595,2.31,2.25,2.06
2020-04-06,2.9625,3.98,2.807777778,2.455,3.98,2.365,2.9625,3.98,2.807777778
2020-04-13,2.36,3.2,2.51,2.05,4.4,1.76,2.36,3.2,2.51
2020-04-20,2.2775,2.776666667,2.378181818,2.33,4.1,1.673333333,2.2775,2.776666667,2.378181818
2020-04-27,2.063333333,3.98,2.47375,2.16,3.98,1.65,2.063333333,3.98,2.47375
2020-05-04,3.396666667,3.04,3.035454545,2.145,6.69,2.12,3.396666667,2.88,3.049166667
2020-05-11,2.6625,3.515,2.850833333,2.355,5.43,1.583333333,2.6625,3.353333333,3.100666667
2020-05-18,2.524,2.966666667,2.636153846,2.12,4.355,1.683333333,2.524,2.966666667,2.706428571
2020-05-25,2.995,2.1,2.87,1.975,4.41,1.37,2.995,2.1,2.87
2020-06-01,2.5775,2.36,2.477,2.385,0,1.686666667,2.5775,2.36,2.477
2020-06-08,2.448333333,3.1625,2.305,2.166666667,4.685,1.593333333,2.448333333,2.203333333,2.592307692
2020-06-15,2.595,1.905,2.526923077,2.046666667,3.53,1.533333333,2.595,1.905,2.526923077
2020-06-22,2.774285714,0,2.68,1.99,3.69,2.253333333,2.774285714,0,2.68
2020-06-29,2.688,2.59,2.583636364,2.09,3.72,1.62,2.688,2.59,2.583636364
2020-07-06,2.761666667,2.9225,2.543333333,2.186666667,4.143333333,1.67,2.5,2.9225,2.660769231
2020-07-13,3.364,3.19,3.153333333,2.043333333,3.946666667,1.64,3.364,3.19,3.153333333
2020-07-20,2.285,3.45,2.617,1.966666667,4.225,1.255,2.285,3.45,2.733636364
2020-07-27,2.025,3.474,2.560769231,1.89,5.33,1.536666667,2.025,2.9775,2.767857143
2020-08-03,3.512,3.232,3.082,1.913333333,4.695,1.715,3.512,2.865,3.183125
2020-08-10,2.073333333,3.161428571,2.718461538,1.983333333,4.625,1.366666667,2.073333333,3.112,2.794
2020-08-17,2.626666667,3.026,2.544545455,2.27,4.41,1.65,2.626666667,2.7075,2.690833333
2020-08-24,2.12,2.6525,2.548461538,2.016666667,4.39,1.406666667,2.12,2.6525,2.548461538
2020-08-31,2.0525,2.843333333,2.385833333,1.89,4.37,1.413333333,2.0525,2.67,2.614
2020-09-07,2.665,2.812,2.532727273,2,4.125,1.63,2.665,2.4525,2.675833333
2020-09-14,2.173333333,3.102,2.555384615,1.856666667,4.915,1.585,2.173333333,2.69,2.712142857
2020-09-21,2.81,2.57375,2.743571429,1.716666667,4.015,1.503333333,3.056666667,2.628,2.662777778
2020-09-28,2.006666667,2.3725,2.297272727,1.703333333,4.14,1.253333333,2.006666667,2.3725,2.297272727
2020-10-05,2.735,2.618,2.534545455,1.866666667,3.96,1.22,2.735,2.335,2.635833333
2020-10-12,2.37,2.31875,2.452666667,1.763333333,3.83,1.246666667,2.53,2.374,2.387368421
2020-10-19,2.485,2.718,2.730909091,1.696666667,4.36,1.11,2.485,2.325,2.860833333
2020-10-26,2.355,2.386666667,2.447,1.425,4.185,1.105,2.355,2.105,2.530833333
2020-11-02,2.6025,2.371666667,2.34,1.663333333,4.8,1.22,2.17,2.406,2.423529412
2020-11-09,2.642,2.826666667,2.4425,1.593333333,5.03,1.105,2.26,2.2375,2.766
2020-11-16,3.104,2.142857143,2.706153846,2.293333333,3.585,1.226666667,3.37,2.155,2.609444444
2020-11-23,3.183333333,2.403333333,2.841111111,1.425,4.43,1.03,3.183333333,2.505,2.724545455
2020-11-30,2.15,2.522,2.298888889,1.44,3.945,1.08,2.15,2.1225,2.481
2020-12-07,3.14,2.634,2.758571429,1.94,4.305,1.09,2.9,2.5025,2.898888889
2020-12-14,2.0675,2.08625,2.2875,1.395,3.53,1.3775,2.0675,2.106,2.240666667
2020-12-21,3.03,1.8725,2.4675,1.47,3.18,0.98,2.813333333,1.8725,2.602222222
2020-12-28,2.605,1.95,2.2775,1.745,2.91,1.33,2.605,1.95,2.2775
