,REG_DATE,¿⁄ªÁ¡¶«∞¡¶¡∂øÎ ≥√¿Â,"¿⁄ªÁ¡¶«∞¡¶¡∂øÎ ≥√¿Â,∆˜¿Â»Ω∞®,« ∑ø(F)","¿⁄ªÁ¡¶«∞¡¶¡∂øÎ ≥√¿Â,« ∑ø(F)",∆«∏≈øÎ ≥√¿Â,"∆«∏≈øÎ ≥√¿Â,∆˜¿Â»Ω∞®,« ∑ø(F)","∆«∏≈øÎ ≥√¿Â,« ∑ø(F)","∆«∏≈øÎ ≥√¿Â,« ∑ø(F),»Ω∞®",c¿⁄ªÁ¡¶«∞¡¶¡∂øÎ ≥√¿Â,"c¿⁄ªÁ¡¶«∞¡¶¡∂øÎ ≥√¿Â,∆˜¿Â»Ω∞®,« ∑ø(F)","c¿⁄ªÁ¡¶«∞¡¶¡∂øÎ ≥√¿Â,« ∑ø(F)",c∆«∏≈øÎ ≥√¿Â,"c∆«∏≈øÎ ≥√¿Â,∆˜¿Â»Ω∞®,« ∑ø(F)","c∆«∏≈øÎ ≥√¿Â,« ∑ø(F)","c∆«∏≈øÎ ≥√¿Â,« ∑ø(F),»Ω∞®",,,,,,WEEKCOUNT,µŒπŸ¿Ã¿Ø,MONTH,MONTH_MEAN,P_PRICE
0,2015-12-28,8.42,15.495,13.43,8.84,19.15,12.94,12.08,0,0,1,1,1,1,1,,,,,,5,34.58,12,14.65093357,13.288
1,2016-01-04,8.97,15.495,13.76,9.36,18.58,12.74,13.56,1,0,1,2,1,1,1,,,,,,7,32.1,1,14.955954,12.33285714
2,2016-01-11,8.85,15.495,16.51,9.37,14.6,13.88,14.05,1,0,1,1,1,1,1,,,,,,6,27.86,1,14.955954,12.87666667
3,2016-01-18,8.22,15.495,15.23,10.02,18.55,14.33,13.97,1,0,1,1,1,1,1,,,,,,6,26.35,1,14.955954,13.38666667
4,2016-01-25,8.21,15.495,13.47,8.89,18.34,12.97,12.79,0,0,1,1,1,1,1,,,,,,5,26.38,1,14.955954,13.292
5,2016-02-01,8.19,15.495,13.68,9.335,18.39,12.28,12.21,1,0,1,2,1,1,1,,,,,,7,29.95,2,14.39166667,11.91714286
6,2016-02-08,8.98,15.495,15.2,8.85,16.84,13.9,13.39,1,0,1,1,1,1,1,,,,,,6,30.07,2,14.39166667,12.86
7,2016-02-15,9.4,15.495,15.67,9.21,18.85,13.83,12.07,1,0,1,1,1,1,1,,,,,,6,28.94,2,14.39166667,13.17166667
8,2016-02-22,9.5,15.495,14.72,9.605,17.91,14.03,13.31,1,0,1,2,1,1,1,,,,,,7,29.56,2,14.39166667,12.66857143
9,2016-02-29,9.9,15.495,14.8,10.09,17.61,14.5,14.16,1,0,1,2,1,1,1,,,,,,7,29.3,2,14.39166667,13.02142857
10,2016-03-07,9.84,15.495,14.94,9.465,18.35,13.9,13.98,1,0,1,2,1,1,1,,,,,,7,35.37,3,14.78056406,12.84857143
11,2016-03-14,9.47,15.495,15.48,9.375,21.18,12.16,13.8,1,0,1,2,1,1,1,,,,,,7,34.51,3,14.78056406,12.97714286
12,2016-03-21,10.27,15.495,16.03,9.76,17.85,14.85,14.44,1,0,1,2,1,1,1,,,,,,7,35.68,3,14.78056406,13.28
13,2016-03-28,11.04,15.495,17.01,10.055,18.81,15.45,15.02,1,0,1,2,1,1,1,,,,,,7,35.22,3,14.78056406,13.92
14,2016-04-04,10.81,15.495,16.53,10.62,19.68,15.13,14.92,1,0,1,2,1,1,1,,,,,,7,34.05,4,14.86277705,14.04428571
15,2016-04-11,10.15,15.495,14.77,10.13,19.61,14.18,14.35,1,0,1,1,1,1,1,,,,,,6,37.73,4,14.86277705,13.865
16,2016-04-18,9.9,15.495,13.62,9.72,18.93,13.94,14.01,1,0,1,1,1,1,1,,,,,,6,37.94,4,14.86277705,13.35333333
17,2016-04-25,9.87,15.495,13.61,9.91,18.76,14.22,13.83,1,0,1,2,1,1,1,,,,,,7,38.63,4,14.86277705,12.87285714
18,2016-05-02,9.8,15.495,14.04,9.72,18.43,14.16,13.71,1,0,1,1,1,1,1,,,,,,6,42.45,5,14.71583875,13.31
19,2016-05-09,10.47,15.495,13.94,10.35,18.1,15.06,14.81,1,0,1,1,1,1,1,,,,,,6,40.97,5,14.71583875,13.78833333
20,2016-05-16,11.15,15.495,14.59,9.31,19.04,15.54,15.19,1,0,1,2,1,1,1,,,,,,7,44.27,5,14.71583875,13.44714286
21,2016-05-23,10.86,15.495,13.91,10.97,19.27,15.32,15.89,1,0,1,1,1,1,1,,,,,,6,44.16,5,14.71583875,14.37
22,2016-05-30,10,15.495,14.24,9.92,17.98,14.36,14.41,1,0,1,1,1,1,1,,,,,,6,44.31,5,14.71583875,13.485
23,2016-06-06,10.54,15.495,14.04,9.41,19.23,14.9,15.16,1,0,1,3,1,1,1,,,,,,8,46.54,6,14.82230442,12.7625
24,2016-06-13,11.68,15.495,13.46,11.43,20.81,16.09,17.49,1,0,1,1,1,1,1,,,,,,6,46.93,6,14.82230442,15.16
25,2016-06-20,12.07,15.495,14.17,10.655,21.56,17.01,16.42,1,0,1,2,1,1,1,,,,,,7,46.69,6,14.82230442,14.64857143
26,2016-06-27,11.97,15.495,13.89,10.57,20.95,16.13,16.24,1,0,1,2,1,1,1,,,,,,7,46.03,6,14.82230442,14.33142857
27,2016-07-04,12.77,15.495,13.69,11.14,27.14,16.59,16.66,1,0,1,3,1,1,1,,,,,,8,45.77,7,14.63846877,15.03375
28,2016-07-11,13.7,15.495,13.77,11.89666667,27,17.86,17.24,1,0,1,3,1,1,1,,,,,,8,42.84,7,14.63846877,15.6575
29,2016-07-18,13.46,15.495,13.54,10.8125,27.16,17.49,17.18,1,0,1,4,1,1,1,,,,,,9,43.18,7,14.63846877,14.67555556
30,2016-07-25,12.73,15.495,14.07,10.68,27,16.45,15.91,1,0,1,2,1,1,1,,,,,,7,42.59,7,14.63846877,15.36
31,2016-08-01,11.97,15.495,13.65,10.50333333,26.86,15.15,14.43,1,0,1,3,1,1,1,,,,,,8,38.92,8,14.40944084,14.19625
32,2016-08-08,11.21,15.495,13.79,10.39666667,26.92,15.24,14.32,1,0,1,3,1,1,1,,,,,,8,41.62,8,14.40944084,14.08375
33,2016-08-15,11.49,15.495,14.13,10.35,26.95,15.32,14.72,1,0,1,2,1,1,1,,,,,,7,43.27,8,14.40944084,14.75857143
34,2016-08-22,12.03,15.495,13.64,10.09,27.1,15.26,14.8,1,0,1,3,1,1,1,,,,,,8,43.81,8,14.40944084,14.1375
35,2016-08-29,11.59,15.495,14.1,11.59,26.98,14.6,15.32,1,0,1,1,1,1,1,,,,,,6,43.74,8,14.40944084,15.69666667
36,2016-09-05,10.46,15.495,14.37,10.92,27.08,14.99,14.14,1,0,1,1,1,1,1,,,,,,6,43.17,9,14.18596372,15.32666667
37,2016-09-12,9.71,15.495,12.09,10.36,26.93,13.82,13.93,1,0,1,1,0,1,0,,,,,,4,44.89,9,14.18596372,11.495
38,2016-09-19,9.58,15.495,12.78,9.456666667,26.78,13.33,13.72,1,0,1,3,1,1,1,,,,,,8,43.01,9,14.18596372,13.07
39,2016-09-26,10.27,15.495,13.06,9.365,26.92,13.46,14,1,0,1,2,1,1,1,,,,,,7,43.4,9,14.18596372,13.77714286
40,2016-10-03,11.33,15.495,13.91,10.73,26.93,14.3,14.87,1,0,1,2,1,1,1,,,,,,7,48.01,10,14.18298344,14.68571429
41,2016-10-10,11.77,15.495,14.05,11.04333333,27.13,14.64,14.71,1,0,1,3,1,1,1,,,,,,8,49.93,10,14.18298344,14.42875
42,2016-10-17,11.94,15.495,14.19,10.49666667,27.12,14.28,14.83,1,0,1,3,1,1,1,,,,,,8,49.08,10,14.18298344,14.23125
43,2016-10-24,11.71,15.495,14.3,10.63333333,27.05,13.86,15.4,1,0,1,3,1,1,1,,,,,,8,49.19,10,14.18298344,14.2775
44,2016-10-31,11.29,15.495,14.18,9.623333333,27.05,13.82,16.06,1,0,1,3,1,1,1,,,,,,8,44.92,10,14.18298344,13.90875
45,2016-11-07,10.95,15.495,14.28,10.565,24.79,14.23,15.82,1,0,1,2,1,1,1,,,,,,7,43.04,11,13.75146674,14.45714286
46,2016-11-14,11.29,15.495,14.18,10.32666667,27.05,13.65,15.79,1,0,1,3,1,1,1,,,,,,8,42.33,11,13.75146674,14.1175
47,2016-11-21,11.02,15.495,13.83,10.29333333,28.33,14.39,15.34,1,0,1,3,1,1,1,,,,,,8,44.15,11,13.75146674,14.22375
48,2016-11-28,10.57,15.495,14.33,10.39,26.48,15,15.1,1,0,1,2,1,1,1,,,,,,7,44.02,11,13.75146674,14.60857143
49,2016-12-05,10.78,15.495,14.11,10.71,27.05,16.27,15.54,1,0,1,2,1,1,1,,,,,,7,51.51,12,14.65093357,15.02428571
50,2016-12-12,11.59,15.495,14.18,11.065,27.07,16.88,16.37,1,0,1,2,1,1,1,,,,,,7,52.26,12,14.65093357,15.46
51,2016-12-19,12.43,15.495,14.74,11.69,27.14,17.14,17.24,1,0,1,2,1,1,1,,,,,,7,51.81,12,14.65093357,16.01
52,2016-12-26,13.08,15.495,14.57,12.30666667,27.21,17.63,16.94,1,0,1,3,1,1,1,,,,,,8,51.96,12,14.65093357,15.79375
53,2017-01-01,13.13,15.495,14.98,12.25,27.53,16.88,17.65,1,0,1,2,1,1,1,,,,,,7,52.1,1,14.955954,16.38142857
54,2017-01-06,12.51,15.495,15.59,11.95333333,28.07,17.06,17.24,1,0,1,3,1,1,1,,,,,,8,54.82,1,14.955954,15.79125
55,2017-01-16,12.22,15.495,16.33,11.685,28.23,16.02,16.86,1,0,1,2,1,1,1,,,,,,7,53.72,1,14.955954,16.14714286
56,2017-01-23,11.8,15.495,16.66,11.6,28.07,15.08,16.85,1,0,1,1,1,1,1,,,,,,6,53.64,1,14.955954,16.67666667
57,2017-01-30,10.96,15.495,15.96,10.88,21.36,15.1,15.54,1,0,1,1,1,1,1,,,,,,6,53.74,1,14.955954,14.96666667
58,2017-02-06,10.41,15.495,16.17,10.42,24.77,15,15.3,1,0,1,1,1,1,1,,,,,,6,54.25,2,14.39166667,15.345
59,2017-02-13,10.2,15.495,15.92,10.18,28.17,16.02,15.21,1,0,1,1,1,1,1,,,,,,6,54.03,2,14.39166667,15.95
60,2017-02-20,9.99,15.495,16.03,10.44,28.13,15.26,15.07,1,0,1,2,1,1,1,,,,,,7,54.22,2,14.39166667,15.05142857
61,2017-02-27,9.64,15.495,16.01,10.525,28.12,14.66,14.66,1,0,1,2,1,1,1,,,,,,7,54.43,2,14.39166667,14.87714286
62,2017-03-06,9.27,15.495,16,10.00333333,28.18,14.7,14,1,0,1,3,1,1,1,,,,,,8,54.32,3,14.78056406,14.02
63,2017-03-13,9.12,15.495,15.71,10.06,28.44,14.79,14.34,1,0,1,2,1,1,1,,,,,,7,51.35,3,14.78056406,14.64571429
64,2017-03-20,9.53,15.495,15.86,9.43,25.92,14.73,14.68,1,0,1,1,1,1,1,,,,,,6,51.32,3,14.78056406,15.025
65,2017-03-27,9.55,15.495,16.34,9.695,28.22,14.05,14.8,1,0,1,2,1,1,1,,,,,,7,51.01,3,14.78056406,14.62142857
66,2017-04-03,9.44,15.495,16.01,9.43,28.25,13.74,14.68,1,0,1,1,1,1,1,,,,,,6,51.35,4,14.86277705,15.25833333
67,2017-04-10,9.58,15.495,15.99,9.53,28.31,13.8,14.66,1,0,1,1,1,1,1,,,,,,6,53.83,4,14.86277705,15.31166667
68,2017-04-17,9.45,15.495,14.57,9.67,24.34,13.88,14.83,0,0,1,1,1,1,1,,,,,,5,53.43,4,14.86277705,15.458
69,2017-04-24,9.32,15.495,16.2,9.745,28.14,13.92,14.8,0,0,1,2,1,1,1,,,,,,6,52.31,4,14.86277705,15.425
70,2017-05-01,9.19,15.495,15.61,9.49,28.59,13.35,15.19,1,0,1,1,1,1,1,,,,,,6,50.69,5,14.71583875,15.23666667
71,2017-05-08,9.95,15.495,16.22,10.27,28.43,13.49,15.89,1,0,1,2,1,1,1,,,,,,7,48.54,5,14.71583875,14.93142857
72,2017-05-15,10.72,15.495,16.66,10.79,28.37,10.14,16.59,1,0,1,2,1,1,1,,,,,,7,50.04,5,14.71583875,14.86571429
73,2017-05-22,11.02,15.495,16.38,10.985,28.02,11.53,17.28,1,0,1,2,1,1,1,,,,,,7,50.93,5,14.71583875,15.17142857
74,2017-05-29,10.58,15.495,16.32,11.175,28.26,13.58,17.44,1,0,1,2,1,1,1,,,,,,7,50.59,5,14.71583875,15.50428571
75,2017-06-05,10.41,15.495,16.49,10.39,29.07,13.7,16.73,1,0,1,2,1,1,1,,,,,,7,48.25,6,14.82230442,15.31142857
76,2017-06-12,10.47,15.495,16.39,10.725,29.57,13.7,16.68,1,0,1,2,1,1,1,,,,,,7,47.48,6,14.82230442,15.46571429
77,2017-06-19,10.46,15.495,16.42,11.895,29.2,13.67,16.54,1,0,1,2,1,1,1,,,,,,7,46.55,6,14.82230442,15.72571429
78,2017-06-26,10.47,15.495,16.38,11.08,29.06,13.63,16.6,0,0,1,2,1,1,1,,,,,,6,46.25,6,14.82230442,16.305
79,2017-07-03,10.47,15.495,16.47,9.795,32.81,13.61,16.52,1,0,1,2,1,1,1,,,,,,7,48.54,7,14.63846877,15.63857143
80,2017-07-10,10.52,15.495,16.52,9.876666667,29.55,13.58,16.33,1,0,1,3,1,1,1,,,,,,8,46.03,7,14.63846877,14.51625
81,2017-07-17,10.9,15.495,16.43,10.40666667,29.34,13.94,16.24,1,0,1,3,1,1,1,,,,,,8,46.98,7,14.63846877,14.75875
82,2017-07-24,11.17,15.495,16.15,10.64,29.7,12.6,16.26,1,0,1,2,1,1,1,,,,,,7,47.11,7,14.63846877,15.30857143
83,2017-07-31,10.85,15.495,15.81,10.26333333,29.36,12.73,15.91,1,0,1,3,1,1,1,,,,,,8,47.57,7,14.63846877,14.43125
84,2017-08-07,10.62,15.495,16.11,11,29.8,12.48,15.5,1,0,1,1,1,1,1,,,,,,6,51,8,14.40944084,15.91833333
85,2017-08-14,10.39,15.495,15.81,10.25666667,30.14,13.37,15.16,1,0,1,3,1,1,1,,,,,,8,49.85,8,14.40944084,14.455
86,2017-08-21,9.86,15.495,15.52,9.975,29.48,13.4,14.7,1,0,1,2,1,1,1,,,,,,7,50.09,8,14.40944084,14.70142857
87,2017-08-28,10.46,15.495,16.7,9.91,30.33,13.6,14.7,1,0,1,2,1,1,1,,,,,,7,50.24,8,14.40944084,15.08714286
88,2017-09-04,11.27,15.495,15.34,9.87,29.05,13.28,14.74,1,0,1,2,1,1,1,,,,,,7,51.49,9,14.18596372,14.77428571
89,2017-09-11,11.36,15.495,15.94,10.72,30.17,13.51,13.5,1,0,1,1,1,1,1,,,,,,6,52.35,9,14.18596372,15.86666667
90,2017-09-18,10.01,15.495,16.16,10.12,29.73,13.18,14.5,1,0,1,2,1,1,1,,,,,,7,53.25,9,14.18596372,14.83142857
91,2017-09-25,10.2,15.495,15.52,10.625,30.56,13.07,14.77,1,0,1,2,1,1,1,,,,,,7,53.92,9,14.18596372,15.05285714
92,2017-10-02,9.92,15.495,15.44,10.47,29.93,14.56,14.68,0,0,1,1,0,1,0,,,,,,3,54.72,10,14.18298344,13.49
93,2017-10-09,9.64,15.495,15.84,9.7,29.29,14.32,14.58,1,0,1,1,1,1,1,,,,,,6,54.1,10,14.18298344,15.56166667
94,2017-10-16,9.39,15.495,15.32,9.61,30.69,14.05,14.69,1,0,1,1,1,1,1,,,,,,6,55.34,10,14.18298344,15.625
95,2017-10-23,9.69,15.495,15.61,9.41,28.54,14.22,14.68,1,0,1,2,1,1,1,,,,,,7,55.14,10,14.18298344,14.50857143
96,2017-10-30,8.93,15.495,15,8.97,28.24,14.03,14.28,1,0,1,1,1,1,1,,,,,,6,55.54,10,14.18298344,14.90833333
97,2017-11-06,8.3,15.495,14.94,8.15,29.22,13.83,13.11,1,0,1,1,1,1,1,,,,,,6,61.83,11,13.75146674,14.59166667
98,2017-11-13,8.18,15.495,14.46,8.49,29.61,11.48,13.66,1,0,1,2,1,1,1,,,,,,7,61.18,11,13.75146674,13.48142857
99,2017-11-20,8.6,15.495,15.36,8.34,29.64,11.24,12.51,1,0,1,1,1,1,1,,,,,,6,60.55,11,13.75146674,14.28166667
100,2017-11-27,7.57,15.495,15.98,8.02,29.35,13.82,11.12,1,0,1,2,1,1,1,,,,,,7,60.88,11,13.75146674,13.41142857
101,2017-12-04,8.16,15.495,14.94,8.09,29.38,13.92,11.37,1,0,1,1,1,1,1,,,,,,6,60.02,12,14.65093357,14.31
102,2017-12-11,8.5,15.495,15.32,8.49,33.61,13.46,11.55,1,0,1,1,1,1,1,,,,,,6,61.62,12,14.65093357,15.155
103,2017-12-18,8.47,15.495,14.74,8.74,29.31,14.25,11.87,1,0,1,1,1,1,1,,,,,,6,60.8,12,14.65093357,14.56333333
104,2017-12-25,9.1,15.495,14.61,9.14,28.27,14.09,12.3,1,0,1,1,1,1,1,,,,,,6,61.15,12,14.65093357,14.585
105,2018-01-01,9.62,15.495,15.62,9.41,28.27,14.02,12.83,1,0,1,1,0,1,0,,,,,,4,61.6,1,14.955954,12.1675
106,2018-01-08,9.56,15.495,16.04,9.85,28.27,13.54,13.36,1,0,1,1,1,1,1,,,,,,6,65.09,1,14.955954,15.10333333
107,2018-01-15,9.24,15.495,15.83,9.59,29.23,10.98,13.43,1,0,1,1,1,1,1,,,,,,6,66.36,1,14.955954,14.71666667
108,2018-01-22,9.61,15.495,15.89,9.77,28.34,11.73,13.42,1,0,1,2,1,1,1,,,,,,7,65.97,1,14.955954,14.07571429
109,2018-01-29,9.87,15.495,15.28,9.88,28.32,13.63,14,1,0,1,1,1,1,1,,,,,,6,66.23,1,14.955954,15.16333333
110,2018-02-05,9.72,15.495,15.27,9.91,28.31,13.68,14.05,1,0,1,1,1,1,1,,,,,,6,64.99,2,14.39166667,15.15666667
111,2018-02-12,9.44,15.495,14.76,9.88,28.32,11.43,13.99,1,0,1,1,1,1,1,,,,,,6,61.16,2,14.39166667,14.63666667
112,2018-02-19,10.59,15.495,14.89,10.08,28.31,13.59,14.48,1,0,1,2,1,1,1,,,,,,7,62.28,2,14.39166667,14.57428571
113,2018-02-26,10.65,15.495,15.33,10.53,28.25,13.87,14.86,1,0,1,2,1,1,1,,,,,,7,62.75,2,14.39166667,14.86
114,2018-03-05,11.47,15.495,15.84,10.83,28.28,14.09,14.86,1,0,1,2,1,1,1,,,,,,7,61.94,3,14.78056406,15.17142857
115,2018-03-12,11.54,15.495,15.99,11.12,29.76,14.17,15.47,1,0,1,2,1,1,1,,,,,,7,61.32,3,14.78056406,15.59571429
116,2018-03-19,11.15,15.495,15.86,11.09,29.09,14.12,16.2,1,0,1,1,1,1,1,,,,,,6,61.86,3,14.78056406,16.25166667
117,2018-03-26,11.05,15.495,15.92,11.5,29.58,14.13,17.06,1,0,1,1,1,1,1,,,,,,6,62.77,3,14.78056406,16.54
118,2018-04-02,12.52,15.495,16.26,10.96,29.62,15.82,17.83,1,0,1,2,1,1,1,,,,,,7,64.62,4,14.86277705,16.28142857
119,2018-04-09,11.87,15.495,16.04,11.465,28.88,15.74,16.85,1,0,1,2,1,1,1,,,,,,7,65.83,4,14.86277705,16.04428571
120,2018-04-16,11.62,15.495,16.01,11.555,28.77,15.69,16.32,1,0,1,2,1,1,1,,,,,,7,67.25,4,14.86277705,15.93142857
121,2018-04-23,11.35,15.495,15.86,11.08,27.28,15.73,16,1,0,1,2,1,1,1,,,,,,7,68.41,4,14.86277705,15.48285714
122,2018-04-30,11.66,15.495,15.79,11.205,29.05,15.73,16.24,1,0,1,2,1,1,1,,,,,,7,68.27,4,14.86277705,15.84
123,2018-05-07,12.33,15.495,16.26,11.64,27.98,16.1,17.04,1,0,1,2,1,1,1,,,,,,7,72.83,5,14.71583875,16.14142857
124,2018-05-14,12.66,15.495,16.23,11.75,29,12.37,17.7,1,0,1,2,1,1,1,,,,,,7,74.02,5,14.71583875,15.92285714
125,2018-05-21,12.42,15.495,16.19,12.435,29,15.76,17.74,1,0,1,2,1,1,1,,,,,,7,74.79,5,14.71583875,16.56857143
126,2018-05-28,12.53,15.495,15.85,11.365,28.93,15.23,17.41,1,0,1,2,1,1,1,,,,,,7,74.45,5,14.71583875,16.09714286
127,2018-06-04,11.27,15.495,15.4,11.18,28.81,14.99,15.77,1,0,1,2,1,1,1,,,,,,7,73.15,6,14.82230442,15.51428571
128,2018-06-11,10.67,15.495,15.51,10.845,27.72,14.74,15.25,1,0,1,2,1,1,1,,,,,,7,74.37,6,14.82230442,15.08285714
