REG_DATE,냉동,"냉동,다리","냉동,동체","냉동,동체,자숙","냉동,지느러미","대만,뉴질랜드,러시아,냉동c","미국,인도네시아,에콰도르,우루과이,에콰도르,베트남,스페인,냉동c","아르헨티나,냉동c","중국,냉동c","중국,인도네시아,냉동,다리c","중국,냉동,동체c","중국,칠레,냉동,동체,자숙c","중국,인도네시아,러시아,냉동,지느러미c","칠레,페루,냉동c","칠레,냉동,다리c","칠레,냉동,동체c","칠레,냉동,지느러미c","캐나다,냉동c","페루,냉동,다리c","페루,냉동,동체c","페루,냉동,동체,자숙c","페루,냉동,지느러미c",,,,,,,두바이유,MONTH,MONTH_MEAN,CTRY_DIF,P_PRICE
2015-12-28,0,1.1,1.246666667,5.48,0.76,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,,,,,,,34.58,12,2.744095862,0,1.74
2016-01-04,0,1.016666667,1.02,4.475,0.64,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,2,1,,,,,,,32.1,1,2.677691226,0,1.7875
2016-01-11,0,1.04,1.045,3.74,0.755,0,0,0,0,0,1,0,0,0,0,1,2,0,2,0,1,0,,,,,,,27.86,1,2.677691226,0,1.345714286
2016-01-18,0,1.14,0.89,4.095,0.72,0,0,0,0,0,1,0,0,0,1,1,1,0,2,0,2,0,,,,,,,26.35,1,2.677691226,0,1.675
2016-01-25,0,1.06,0.94,5.005,0.6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,,,,,,,26.38,1,2.677691226,1,2.522
2016-02-01,1.775,1.18,1.745,3.78,0.75,1,0,0,1,0,1,1,0,0,0,1,1,0,2,0,2,0,,,,,,,29.95,2,2.913185476,1,2.149
2016-02-15,1.59875,1,1.98,4.13,0.75,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,2,0,,,,,,,28.94,2,2.913185476,0,2.102857143
2016-02-22,1.4225,1.816666667,0.94,3.9,0.71,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,1,,,,,,,29.56,2,2.913185476,1,1.89
2016-02-29,1.24625,0.81,1.12,3.983333333,0.68,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,2,0,,,,,,,29.3,2,2.913185476,0,2.426666667
2016-03-07,1.07,1.25,1,4.06,0.56,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,0,,,,,,,35.37,3,2.811885022,0,1.885714286
2016-03-14,1.238333333,1.425,0.83,4.09,0.54,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,,,,,,,34.51,3,2.811885022,0,2.076
2016-03-21,1.406666667,1.6,0.825,3.48,0.68,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,2,0,,,,,,,35.68,3,2.811885022,0,2.052857143
2016-03-28,1.575,1.675,0.99,4.335,0.7,0,0,0,0,0,0,2,0,0,1,1,1,0,1,0,2,0,,,,,,,35.22,3,2.811885022,0,2.653333333
2016-04-04,1.743333333,1,1.71,3.52,0.79,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,,,,,,,34.05,4,2.613402548,0,1.621666667
2016-04-11,1.911666667,1.02,0.89,3.67,0.67,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,,,,,,,37.73,4,2.613402548,0,0.872
2016-04-18,2.08,2.17,1.08,3.82,1.115,1,0,0,0,0,1,0,0,0,0,2,2,0,1,0,1,0,,,,,,,37.94,4,2.613402548,0,1.721
2016-04-25,2.15,1.02,0.945,3.69,0.78,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,,,,,,,38.63,4,2.613402548,1,1.588333333
2016-05-02,0.4,1.13,0.865,3.1525,0.69,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,,,,,,,42.45,5,2.514843451,0,0.846666667
2016-05-09,1.42,1.05,0.905,2.615,0.74,0,0,0,1,0,1,1,0,0,1,1,2,0,0,0,1,0,,,,,,,40.97,5,2.514843451,0,1.37375
2016-05-16,1.4525,1.215,2.655,3.843333333,0.715,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,2,1,,,,,,,44.27,5,2.514843451,0,2.3
2016-05-23,1.485,1.22,1.07,3.71,0.73,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,,,,,,,44.16,5,2.514843451,0,1.658333333
2016-05-30,1.5175,1.08,1.08,3.48,1.02,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,,,,,,,44.31,5,2.514843451,1,1.536
2016-06-06,1.55,1.16,1.005,3.2125,0.77,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,,,,,,,46.54,6,2.559927514,0,1.02
2016-06-13,1.5825,1.215,1.475,2.945,0.79,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,,,,,,,46.93,6,2.559927514,0,1.722857143
2016-06-20,1.615,1.163333333,1.11,2.92,0.8,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,,,,,,,46.69,6,2.559927514,0,1.08
2016-06-27,1.6475,1.233333333,1.26,2.895,0.84,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,,,,,,,46.03,6,2.559927514,0,1.60625
2016-07-04,1.68,1.265,1.08,3.716666667,0.85,0,0,0,2,1,1,2,0,0,1,1,2,0,0,0,1,0,,,,,,,45.77,7,2.74283167,1,1.9
2016-07-11,1.615,1.196666667,1,3.42,0.85,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,,,,,,,42.84,7,2.74283167,0,1.408571429
2016-07-18,1.55,1.395,1.035,5.795,0.996666667,0,0,0,0,0,1,0,1,1,1,1,2,0,1,0,2,0,,,,,,,43.18,7,2.74283167,1,2.099
2016-07-25,1.575,1.06,1.2,3.1,2.43,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,,,,,,,42.59,7,2.74283167,0,1.9475
2016-08-01,1.6,1.18,1.115,4.06,0.84,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,,,,,,,38.92,8,2.810114433,0,1.651666667
2016-08-08,1.64,1.255,1.22,5.07,0.85,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,2,0,,,,,,,41.62,8,2.810114433,0,2.337142857
2016-08-15,1.65,1.29,1.085,4.66,0.896666667,0,0,0,0,1,1,1,0,1,1,1,1,0,2,0,2,2,,,,,,,43.27,8,2.810114433,0,1.981428571
2016-08-22,1.996666667,1.18,1.21,6.13,0.906666667,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,2,,,,,,,43.81,8,2.810114433,0,2.294444444
2016-08-29,2.343333333,1.32,1.26,5.736666667,0.88,0,0,0,0,0,0,1,0,0,2,1,1,0,1,0,2,0,,,,,,,43.74,8,2.810114433,3,2.883333333
2016-09-05,2.69,1.356666667,1.16,5.213333333,0.84,1,0,0,0,0,0,1,0,0,2,1,1,0,1,0,2,1,,,,,,,43.17,9,2.754063035,3,2.521818182
2016-09-12,2.383333333,1.225,1.34,4.365,0.88,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,2,0,,,,,,,44.89,9,2.754063035,0,2.105714286
2016-09-19,2.076666667,1.12,1.25,4.996666667,0.835,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,2,1,,,,,,,43.01,9,2.754063035,0,2.252
2016-09-26,1.77,1.326666667,1.23,5.59,0.95,0,0,0,0,0,0,1,0,1,2,1,1,0,1,0,2,0,,,,,,,43.4,9,2.754063035,3,2.71
2016-10-03,1.05,1.27,1.435,6.37,0.94,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,2,0,,,,,,,48.01,10,2.743497848,0,2.695714286
2016-10-10,1.5,1.17,1.22,6.555,0.943333333,1,0,0,0,1,0,0,0,0,1,1,2,0,1,0,2,1,,,,,,,49.93,10,2.743497848,0,2.217
2016-10-17,3.445,1.28,1.37,6.66,0.91,1,0,0,1,0,0,0,0,0,1,2,1,0,0,0,2,0,,,,,,,49.08,10,2.743497848,1,3.1425
2016-10-24,3.7475,1.083333333,1.24,7.26,0.93,0,0,0,0,1,0,0,0,0,1,1,2,0,1,0,2,1,,,,,,,49.19,10,2.743497848,0,2.422222222
2016-10-31,4.05,1.21,1.4,6.82,0.88,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,2,1,,,,,,,44.92,10,2.743497848,0,2.588
2016-11-07,3.615,1.235,1.26,6.73,0.97,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,,,,,,,43.04,11,2.65501226,1,2.665714286
2016-11-14,3.075,1.163333333,1.4,5.935,1.165,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,2,0,,,,,,,42.33,11,2.65501226,2,2.421818182
2016-11-21,2.71,1.1725,1.6575,4.415,1.123333333,1,0,0,1,1,2,1,0,0,2,2,2,0,1,0,1,1,,,,,,,44.15,11,2.65501226,1,1.91
2016-11-28,2.776666667,1.37,1.64,4.58,1.175,1,0,0,2,0,1,1,1,0,1,1,1,0,0,0,2,0,,,,,,,44.02,11,2.65501226,2,2.625
2016-12-05,2.69,1.405,1.14,5.1,1.09,1,0,0,2,0,1,1,1,0,0,0,1,0,0,0,2,1,,,,,,,51.51,12,2.744095862,1,2.778
2016-12-12,2.725,1.44,1.16,4.48,1.0375,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,2,2,,,,,,,52.26,12,2.744095862,0,2.12
2016-12-19,2.45,1.266666667,1.455,4.26,1.0575,2,0,0,1,1,1,1,1,0,1,1,2,0,1,0,0,1,,,,,,,51.81,12,2.744095862,0,1.734615385
2016-12-26,2.665,1.44,1.9,5.166666667,1.295,2,0,0,0,1,1,1,1,0,1,1,1,0,1,0,2,0,,,,,,,51.96,12,2.744095862,1,2.604615385
2017-01-01,2.14,1.3475,2.235,6.385,1.033333333,1,0,0,1,1,1,0,0,0,1,1,1,0,2,0,2,2,,,,,,,52.1,1,2.677691226,0,2.308461538
2017-01-06,2.445,1.206666667,1.665,6.83,1.1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,2,1,,,,,,,54.82,1,2.677691226,0,2.534444444
2017-01-16,2.75,1.4,1.403333333,5.116666667,1.253333333,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,2,1,,,,,,,53.72,1,2.677691226,1,2.347692308
2017-01-23,2.56,1.295,1.435,7.14,1.193333333,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,2,1,,,,,,,53.64,1,2.677691226,1,2.588
2017-01-30,1.61,1.38,1.615,6.045,1.265,0,0,0,1,1,1,0,2,0,1,1,1,0,1,0,2,1,,,,,,,53.74,1,2.677691226,1,2.136923077
2017-02-06,2.023333333,1.353333333,1.54,6.82,1.23,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,2,1,,,,,,,54.25,2,2.913185476,0,2.7125
2017-02-13,2.436666667,1.385,1.57,7.41,1.215,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,,,,,,,54.03,2,2.913185476,0,2.363333333
2017-02-20,2.85,1.165,1.45,5.41,1.16,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,,,,,,,54.22,2,2.913185476,0,2.513333333
2017-02-27,2.08,1.33,1.32,5.72,1.1575,0,0,0,1,0,0,0,2,0,1,1,1,0,1,0,2,1,,,,,,,54.43,2,2.913185476,1,2.213
2017-03-06,2.51,1.28,1.51,6.145,1.215,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,2,1,,,,,,,54.32,3,2.811885022,0,2.532
2017-03-13,2.93,1.306666667,1.44,5.135,1.19,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,2,1,,,,,,,51.35,3,2.811885022,0,2.326666667
2017-03-20,2.81,1.34,2.023333333,5.425,1.2,0,0,0,1,1,2,0,0,0,1,1,1,0,1,0,2,1,,,,,,,51.32,3,2.811885022,0,2.3
2017-03-27,3.01,1.276666667,1.42,7.44,1.18,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,2,1,,,,,,,51.01,3,2.811885022,0,3.123636364
2017-04-03,2.67,1.27,1.49,5.24,1.44,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,2,1,,,,,,,51.35,4,2.613402548,1,2.244166667
2017-04-10,2.87,1.37,1.335,6.66,1.17,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,2,1,,,,,,,53.83,4,2.613402548,0,2.561818182
2017-04-17,2.85,1.34,1.295,7.41,1.2675,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,2,,,,,,,53.43,4,2.613402548,1,2.269090909
2017-04-24,2.763333333,1.295,1.57,6.03,1.16,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,2,1,,,,,,,52.31,4,2.613402548,0,2.683
2017-05-01,2.876666667,1.185,1.59,5.13,1.23,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,,,,,,,50.69,5,2.514843451,0,1.921428571
2017-05-08,2.99,1.275,1.3,5.91,1.215,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,2,1,,,,,,,48.54,5,2.514843451,0,2.487777778
2017-05-15,2.638333333,1.113333333,1.786666667,8.85,1.71,0,0,0,0,1,2,0,1,0,1,1,1,0,1,0,1,0,,,,,,,50.04,5,2.514843451,1,2.33
2017-05-22,2.286666667,1.455,1.51,3.6,1.175,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,2,1,,,,,,,50.93,5,2.514843451,0,2.083
2017-05-29,3.43,1.32,1.49,5.86,1.415,1,0,0,1,0,0,0,1,0,1,1,1,0,2,0,2,0,,,,,,,50.59,5,2.514843451,1,2.650909091
2017-06-05,3.066666667,1.42,1.53,7.43,1.19,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,,,,,,,48.25,6,2.559927514,0,2.506
2017-06-12,3.003333333,1.37,1.59,5.91,1.135,2,0,0,1,1,0,0,0,0,1,1,1,0,2,0,1,1,,,,,,,47.48,6,2.559927514,0,2.238333333
2017-06-19,2.9025,1.33,1.745,5.12,1.446666667,1,0,0,2,0,0,0,0,1,1,2,2,0,1,0,2,1,,,,,,,46.55,6,2.559927514,1,2.487692308
2017-06-26,3.173333333,1.46,2.14,7.27,1.31,2,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,,,,,,,46.25,6,2.559927514,0,2.886666667
2017-07-03,3.503333333,1.353333333,1.58,5.263333333,1.225,2,0,0,1,0,1,1,0,0,1,1,1,0,2,0,2,1,,,,,,,48.54,7,2.74283167,0,2.705
2017-07-10,4.065,1.31,2.525,5.485,1.28,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,2,1,,,,,,,46.03,7,2.74283167,0,2.785454545
2017-07-17,3.66,1.426666667,1.6,6.87,1.215,2,0,0,1,0,0,0,0,0,1,1,1,0,2,0,2,1,,,,,,,46.98,7,2.74283167,0,3.002727273
2017-07-24,2.76,1.405,1.575,6.98,1.506666667,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,,,,,,,47.11,7,2.74283167,0,2.298
2017-07-31,2.54,1.915,1.49,5.835,1.26,0,0,0,1,0,0,0,1,0,1,1,1,0,2,0,2,2,,,,,,,47.57,7,2.74283167,1,2.355384615
2017-08-07,3.565,1.43,2.295,7.78,1.175,1,0,0,1,0,1,0,0,0,1,1,1,0,2,0,2,1,,,,,,,51,8,2.810114433,0,3.083636364
2017-08-14,3.3425,1.61,1.53,7.4,1.335,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,,,,,,,49.85,8,2.810114433,0,3.4
2017-08-21,3.12,1.61,2.305,4.843333333,1.445,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,2,1,,,,,,,50.09,8,2.810114433,0,2.876
2017-08-28,3.81,1.4125,1.89,8.01,1.5075,0,0,0,1,1,1,0,1,0,1,1,1,0,2,0,1,2,,,,,,,50.24,8,2.810114433,0,2.26
2017-09-04,3.343333333,1.585,1.625,6.57,1.275,2,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,,,,,,,51.49,9,2.754063035,0,2.557
2017-09-11,3.413333333,1.475,1.62,5.59,1.38,1,0,0,2,0,0,0,0,0,1,1,1,0,1,0,2,1,,,,,,,52.35,9,2.754063035,1,2.875
2017-09-18,3.05,1.535,1.595,9.12,1.405,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,,,,,,,53.25,9,2.754063035,0,2.698888889
2017-09-25,2.65,1.323333333,1.585,8.77,1.3,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,,,,,,,53.92,9,2.754063035,0,2.501111111
2017-10-09,3.31,1.65,1.62,5.365,1.37,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,2,2,,,,,,,54.1,10,2.743497848,0,2.56
2017-10-16,2.85,1.79,1.685,8.75,1.51,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,,,,,,,55.34,10,2.743497848,0,2.69625
2017-10-23,3.08,1.43,1.675,4.9,1.56,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,,,,,,,55.14,10,2.743497848,0,2.014285714
2017-10-30,3.31,1.81,1.815,3.55,1.31,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,,,,,,,55.54,10,2.743497848,0,2.358571429
2017-11-06,2,1.65,1.84,4.48,1.87,2,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,,,,,,,61.83,11,2.65501226,0,2.447777778
2017-11-13,3.15,1.96,1.795,4.802,2.015,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,,,,,,,61.18,11,2.65501226,0,2.121666667
2017-11-20,3.6,1.91,1.925,5.124,1.965,2,0,0,2,0,1,0,1,0,1,1,1,0,0,0,0,0,,,,,,,60.55,11,2.65501226,1,2.676666667
2017-11-27,3.56,1.6575,1.79,5.446,2.26,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,60.88,11,2.65501226,0,2.536666667
2017-12-04,2.833333333,1.405,2.095,5.768,2.093333333,2,0,0,1,1,1,0,2,0,1,1,1,0,0,0,0,0,,,,,,,60.02,12,2.744095862,0,2.178
2017-12-11,2.61,2.08,2.273333333,6.09,1.82,1,0,0,2,1,2,1,1,0,1,1,1,0,0,0,0,0,,,,,,,61.62,12,2.744095862,0,2.594545455
2017-12-18,3.573333333,1.873333333,2.16,5,1.97,1,0,0,2,2,2,1,2,0,1,1,1,0,0,0,0,0,,,,,,,60.8,12,2.744095862,2,2.627142857
2017-12-25,3.13,1.52,2.02,6.25,2.73,0,0,0,2,1,1,3,2,0,0,0,0,0,0,0,1,0,,,,,,,61.15,12,2.744095862,2,4.026
2018-01-01,2.763333333,2.01,2.635,5.743333333,2.3,1,0,0,2,1,1,3,1,0,0,0,0,0,0,1,0,1,,,,,,,61.6,1,2.677691226,1,3.4
2018-01-08,3.195,2.15,2.245,5.3225,2.425,0,0,0,2,1,1,2,1,0,1,1,0,0,1,0,2,1,,,,,,,65.09,1,2.677691226,2,3.297142857
2018-01-15,3.135,2.3,2.4075,8.03,2.116,0,0,0,2,2,2,0,2,0,0,1,1,0,1,1,2,2,,,,,,,66.36,1,2.677691226,1,3.09
2018-01-22,2.863333333,2.044,2.555,5.995,2.376666667,0,1,0,2,2,2,1,1,0,1,1,1,0,1,1,1,1,,,,,,,65.97,1,2.677691226,1,2.832352941
2018-01-29,2.696666667,2.17,2.07,8.57,2.53,1,0,0,2,2,1,0,1,0,0,0,0,0,1,0,2,2,,,,,,,66.23,1,2.677691226,2,3.442307692
2018-02-05,3.26,2.15,2.095,8.55,2.43,0,1,0,3,2,2,0,1,0,0,0,0,0,1,0,1,2,,,,,,,64.99,2,2.913185476,2,3.044285714
2018-02-12,3.19,2.8,2.11,6.436666667,2.55,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,1,1,,,,,,,61.16,2,2.913185476,0,4.28
2018-02-19,2.86,2.346666667,1.97,6.915,2.58,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,2,1,,,,,,,62.28,2,2.913185476,0,3.49
2018-02-26,2.81,2.458333333,2.3,11.95,2.18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,,,,,,,62.75,2,2.913185476,0,4.6525
2018-03-05,2.76,2.57,2.35,6.835,2.345,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,,,,,,,61.94,3,2.811885022,0,3.525
2018-03-12,2.71,2.46,2.54,11.06,2.045,0,0,0,1,0,1,0,0,0,1,1,1,0,2,0,2,1,,,,,,,61.32,3,2.811885022,0,4.200833333
2018-03-19,3.916666667,2.255,2.68,10.02,2.54,0,1,0,2,0,2,0,0,0,1,1,1,0,1,0,2,2,,,,,,,61.86,3,2.811885022,1,3.996923077
2018-03-26,2.9075,2.16,2.36,7.69,2.185,1,1,0,1,0,2,0,1,1,1,1,1,0,1,0,2,2,,,,,,,62.77,3,2.811885022,0,3.146875
2018-04-02,3.49,2.165,2.43,6.95,2.226666667,1,0,0,2,0,2,0,0,0,1,1,1,0,1,1,2,2,,,,,,,64.62,4,2.613402548,1,3.221428571
2018-04-09,3.053333333,2.14,2.848,7.96,2.83,0,0,1,2,0,3,0,1,0,1,1,1,0,1,1,2,2,,,,,,,65.83,4,2.613402548,2,3.4325
2018-04-16,3.24,2.3925,2.535,7.03,2.36,0,0,0,1,1,1,0,0,0,1,1,1,0,2,0,2,1,,,,,,,67.25,4,2.613402548,0,3.332727273
2018-04-23,3.775,2.33,2.426666667,5.695,2.355,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,2,1,,,,,,,68.41,4,2.613402548,0,3.235454545
2018-04-30,3.5,1.975,2.445,6.16,2.08,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,2,1,,,,,,,68.27,4,2.613402548,0,3.2525
2018-05-07,3.61,2.08,2.463333333,5.87,2.215,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,2,2,,,,,,,72.83,5,2.514843451,1,3.008571429
2018-05-14,3.54,2.06,2.606666667,6.64,2.21,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,,,,,,,74.02,5,2.514843451,0,2.948888889
2018-05-21,3.25,2.2,2.72,5.53,2.113333333,0,0,1,1,0,1,0,0,0,1,1,1,0,2,1,2,2,,,,,,,74.79,5,2.514843451,0,2.957857143
2018-05-28,4.325,2.146666667,2.483333333,6.165,2.265,0,0,0,2,0,1,0,0,0,1,1,1,0,2,1,2,1,,,,,,,74.45,5,2.514843451,1,3.283333333
2018-06-04,3.99,2.266666667,2.58,5.58,2.09,1,0,0,1,0,0,0,0,0,1,1,1,0,2,0,2,2,,,,,,,73.15,6,2.559927514,0,3.162727273
2018-06-11,4.1,2.08,2.375,6.33,2.345,0,0,0,2,0,0,1,0,0,1,1,1,0,1,1,2,1,,,,,,,74.37,6,2.559927514,1,3.708181818
2018-06-18,3.11,2.19,2.67,4.733333333,2.196666667,0,0,0,1,0,1,1,0,1,1,1,1,0,2,1,2,2,,,,,,,73.49,6,2.559927514,0,2.970714286
2018-06-25,3.11,2.22,2.38,6.015,2.21,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,2,1,,,,,,,73.15,6,2.559927514,0,3.073636364
