,REG_DATE,중국,페루,칠레c,자사제품제조용,판매용,냉동,"냉동,동체","냉동,동체,자숙","냉동,지느러미","중국,냉동c","칠레,냉동,다리c","칠레,냉동,지느러미c","중국,냉동h","페루,냉동,동체,자숙h","페루,냉동,지느러미h","중국,판매용","페루,판매용","판매용,냉동,다리c",P_PRICE
133,2018-07-30,2.99,3.012,3,,3.0125,3.73,2.44,6.19,2.095,1,1,1,3.51,6.19,2.01,2.99,3.012,2,3.0125
134,2018-08-06,3.03,3.901428571,4,5.935,3.239285714,3.735,2.52,6.97,2.215,2,1,1,6.59,15.91,2.07,3.03,3.088,2,3.57625
135,2018-08-13,2.77,4.162,3,8.7,2.7925,2.77,2.32,7.265,2.285,1,1,1,2.77,14.53,2.39,2.77,3.0275,2,3.448888889
136,2018-08-20,3.59,3.576666667,3,3.68,3.226666667,3.78,2.51,6.065,2.165,1,1,1,3.59,12.13,2.09,3.59,3.525,2,3.309090909
137,2018-08-27,2.64,4.732,3,7.96,3.348,4.075,2.5275,7.975,2.1,1,1,1,3.93,15.95,1.96,3.085,3.925,2,3.599166667
138,2018-09-03,2.745,4.042,3,5.7,3.067777778,3.03,2.54,6.195,2.3,1,1,1,3.03,12.39,2.34,2.745,3.6275,2,3.331
139,2018-09-10,3,4.33,3,5.63,3.117777778,3.345,2.445,6.415,2.345,2,1,1,6.69,12.83,2.39,3,3.896666667,2,3.369
140,2018-09-17,3.046666667,4.902857143,4,7.795,3.395384615,3.653333333,2.51,10.805,2.325,2,1,1,6.68,21.61,2.32,3.046666667,3.746,2,3.982
141,2018-09-24,3.28,1.95,3,,2.821666667,3.65,2.63,,2.39,1,1,1,3.28,,,3.28,1.95,2,2.821666667
142,2018-10-01,3.153333333,3.9875,3,5.68,3.058,3.28,2.57,5.7,2.11,1,1,1,3.14,11.4,1.95,3.153333333,3.423333333,2,3.296363636
143,2018-10-08,3.01,5,3,3.1,3.071428571,3.19,2.51,5,2.35,3,1,1,9.57,5,,2.98,5,1,3.075
144,2018-10-15,2.895,4.6,3,3.9075,3.14,3.2,2.603333333,5.725,2.28,2,1,1,6.4,11.45,2.25,2.835,4.34,1,3.419090909
145,2018-10-22,3.09,3.87,3,3.736666667,3.02625,2.98,2.8725,5.71,2.455,2,1,1,5.96,5.71,2.34,2.955,3.573333333,1,3.22
146,2018-10-29,3.155,4.603333333,,5.66,3.401666667,3.12,2.68,5.675,,1,,,3.41,11.35,,3.155,4.075,,3.724285714
147,2018-11-05,3.706,2.475,2,3.3,3.448888889,4.236,2.673333333,,2.4,4,1,,15.8,,2.4,3.8075,2.475,1,3.434
148,2018-11-12,2.87,6.5,3,6.5,2.655,2.595,3.035,6.5,2.28,2,1,1,5.19,6.5,,2.87,,1,3.204285714
149,2018-11-19,2.583333333,4.573333333,3,5.65,3.034444444,3.615,2.245,5.695,2.405,1,1,1,3.15,11.39,2.33,2.583333333,4.035,2,3.296
150,2018-11-26,3.315,3.92,,3.17,3.586,3.813333333,,5.62,2.22,3,,,11.44,5.62,2.22,3.363333333,3.92,1,3.516666667
151,2018-12-03,3.072,5.005,1,,3.543333333,3.58,3.55,7,2.69,1,,1,3.27,7,,3.072,5.005,2,3.543333333
152,2018-12-10,3.551666667,3.603333333,1,5.47,3.300833333,3.672857143,3.66,6.3,2.4,4,,1,15.4,6.3,2.15,3.168,3.603333333,2,3.467692308
153,2018-12-17,3.285,4.08,1,4.3,3.275,4.135,3.34,5.86,2.475,2,,1,8.27,5.86,2.3,2.946666667,4.08,1,3.421428571
154,2018-12-24,2.8375,3.793333333,,,3.35875,3.82,2.57,6.78,2.22,1,,,3.5,6.78,,2.8375,3.793333333,2,3.35875
155,2018-12-31,2.886666667,,2,,2.876666667,3.755,2.885,,2.36,1,,1,3.86,,,2.886666667,,1,2.876666667
156,2019-01-07,3.443333333,2.21,,,3.144,3.58,3.69,,2.21,1,,,3.98,,2.21,3.443333333,2.21,1,3.144
157,2019-01-14,3.17,4.055,,,3.403333333,3.355,3.6,6,2.11,1,,,3.91,6,2.11,3.17,4.055,1,3.403333333
158,2019-01-21,3.244,4,,4.76,2.693333333,2.855,4.02,4.48,2.3,2,,,7.59,5.7,2.3,3.1,2.3,1,3.069090909
159,2019-01-28,2.8725,,,,2.852,2.726666667,3.02,,,2,,,5.41,,,2.8725,,1,2.852
160,2019-02-04,2.91,,,,2.91,2.91,,,,1,,,2.91,,,2.91,,,2.91
161,2019-02-11,3.295,3.706,,5.45,3.2825,2.64,2.545,6.125,1.98,2,,,5.92,12.25,1.98,3.295,3.27,1,3.523333333
162,2019-02-18,3.485,3.234285714,,4.74,2.76625,2.336666667,2.77,5.32,2.08,1,,,3.51,10.64,2.08,3.485,2.632,1,3.161
163,2019-02-25,3.45,3.086666667,,,3.45,3.995,,5.94,1.92,1,,,3.45,5.94,1.92,3.45,3.086666667,1,3.45
164,2019-03-04,2.496666667,2.867142857,,4.56,2.555555556,2.14,2.245,5.23,1.91,2,,,4.92,10.46,1.91,2.496666667,2.585,1,2.756
165,2019-03-11,3.99,2.785,,3.81,3.216666667,4.06,2.925,5.31,2.04,2,,,8.12,5.31,2.04,4.08,2.785,1,3.301428571
166,2019-03-18,3.115,2.663333333,,4.97,2.903333333,2.972,3.28,4.31,1.88,1,,,2.08,9.27,1.88,3.115,2.202,2,3.062307692
167,2019-03-25,3.12,3.211428571,,3.635,3.084545455,2.87,1.96,5.776666667,2.003333333,2,,,7.26,14.06,3.84,3.12,3.042,2,3.169230769
168,2019-04-01,2.385,2.8,,2.96,2.894285714,2.676666667,2.8,5.21,1.73,1,,,1.97,10.42,3.46,2.385,2.72,1,2.908888889
169,2019-04-08,2.416666667,3.118333333,,5.24,2.798888889,3.385,2.275,5.37,1.78,1,,,2.3,10.74,1.78,2.416666667,2.694,2,3.043
170,2019-04-15,3.41,3.044,,4.76,2.88,4.26,2.27,4.765,1.8,1,,,4.26,9.53,1.8,3.41,2.615,1,3.148571429
171,2019-04-22,2.886666667,3.161666667,,4.12,3,3.76,2.115,5.14,1.76,1,,,2.91,12.09,3.52,2.886666667,2.6825,1,3.224
172,2019-04-29,3.106666667,2.502,,1.7,3.105555556,3.82,2.165,4.42,1.7,1,,,3.64,5.56,3.4,3.106666667,2.7025,1,2.965
173,2019-05-06,2.645,3.085,,5.01,2.638181818,2.6,2.23,4.55,1.72,1,,,2.86,10.76,1.72,2.645,2.7,2,2.835833333
174,2019-05-13,3.202,3.331666667,,3.625,3.344,4.166666667,2.36,5.403333333,1.916666667,2,,,7.81,12.88,3.59,3.202,3.185,1,3.390833333
175,2019-05-20,2.86,3.161666667,,4.635,2.585714286,3.02,2.14,5.925,1.785,1,,,3.36,11.85,3.57,2.86,2.425,1,3.041111111
176,2019-05-27,2.2825,3.418,,4.33,2.792222222,2.736666667,2.235,5.74,1.8,2,,,4.97,11.48,1.8,2.2825,3.19,2,2.946
177,2019-06-03,3.015,3.106,,5.28,2.822857143,3.56,2.26,4.995,1.79,1,,,3.64,9.99,1.79,3.015,2.5625,1,3.13
178,2019-06-10,3.612,3.142,2,2.7,3.350714286,3.886666667,2.3,7.29,1.89,2,,1,8.76,7.29,1.78,3.612,3.2525,2,3.284375
179,2019-06-17,2.825,2.926,3,,2.977647059,4.038,2.296666667,4.115,1.796666667,2,1,1,7.32,4.99,1.99,2.825,2.926,3,2.977647059
180,2019-06-24,2.632,3.738333333,4,7.76,2.74875,3.2275,2.386666667,5.186666667,1.91,1,1,1,2.53,12.37,2.14,2.632,2.934,2,3.043529412
181,2019-07-01,3.16,3.44,4,3.93,2.651538462,2.7075,3.055,5.49,1.97,1,1,1,3.56,10.98,2.06,2.866666667,3.1525,3,2.89125
182,2019-07-08,2.763333333,3.155,4,2.42,2.946666667,3.555,2.453333333,6,2.125,1,1,1,3.45,6,2.19,2.935,3.155,2,2.906153846
183,2019-07-15,2.678,3.665,4,6.28,2.97875,3.69,2.47,6.215,2.055,1,1,1,2.81,12.43,2.12,2.678,3.142,3,3.172941176
184,2019-07-22,2.573333333,3.285,4,,3.072857143,3.62,2.736666667,6.43,2.13,1,1,1,2.42,6.43,2.19,2.573333333,3.285,2,3.072857143
185,2019-07-29,2.75,3.1625,4,,2.69,2.796666667,2.53,5.94,2.16,1,1,1,3.23,5.94,2.21,2.75,3.1625,4,2.726923077
186,2019-08-05,4.14,3.08,4,,2.946666667,3.298,2.73,5.45,2.095,2,1,1,9.31,5.45,2.21,4.14,3.08,2,2.96
187,2019-08-12,2.54,3.248,5,4.5,2.599,2.54,2.5,4.87,2.183333333,1,1,2,2.54,9.74,2.11,2.54,2.935,2,2.771818182
188,2019-08-19,2.556,3.0325,4,,2.599230769,2.62,2.536666667,5.12,2.06,2,1,1,5.94,5.12,2.24,2.556,3.0325,2,2.599230769
189,2019-08-26,2.433333333,3.632,3,4.41,2.854166667,3.246666667,2.44,5.74,2.01,1,1,1,2.41,11.48,2.07,2.433333333,3.4375,2,2.96
190,2019-09-02,2.2825,3.034,3,4.22,2.601666667,3.345,2.466666667,4.385,2.09,1,1,1,2.14,8.77,2.08,2.2825,2.7375,3,2.726153846
191,2019-09-09,2.986666667,3.656,2,6.75,2.673,2.3,2.503333333,5.895,1.96,1,,1,2.59,11.79,1.96,2.986666667,2.8825,1,3.043636364
192,2019-09-16,2.675,2.6275,3,,2.72,3.7,2.42,4.1,2,1,1,1,3.03,4.1,1.95,2.675,2.6275,2,2.72
193,2019-09-23,2.3675,2.982,4,3.5,2.495,2.14,2.293333333,3.483333333,2.005,2,2,1,4.28,7.52,1.82,2.3675,2.8525,3,2.572307692
194,2019-09-30,2.376666667,3.204,4,3.97,2.525454545,2.625,2.375,4.91,1.855,1,1,1,1.9,9.82,1.73,2.376666667,3.0125,3,2.7
195,2019-10-07,2.88,3.06,6,4.71,2.565,3.11,2.46,4.47,1.963333333,2,2,2,5.67,8.94,1.74,2.88,2.6475,3,2.748125
196,2019-10-14,2.915,2.46,6,3.65,2.409230769,3.28,2.47,3.385,1.886666667,1,2,2,3.28,3.65,1.64,2.915,2.063333333,4,2.497857143
197,2019-10-21,2.6875,2.565,3,,2.431818182,3.01,2.176666667,4.4,1.66,2,1,1,6.02,4.4,1.65,2.6875,2.565,3,2.431818182
198,2019-10-28,3.166666667,3.45,5,,2.835,3.415,2.285,6.4,1.986666667,1,1,2,3.44,6.4,1.75,3.166666667,3.45,1,2.835
199,2019-11-04,2.806,2.8475,3,,2.655384615,2.96,2.383333333,4.87,1.82,2,1,1,6.1,4.87,1.72,2.806,2.8475,3,2.655384615
200,2019-11-11,2.33,2.546666667,6,,2.288181818,1.9,2.4,3.9,1.903333333,1,2,2,1.9,3.9,1.75,2.33,2.546666667,2,2.288181818
201,2019-11-18,2.9725,1.843333333,3,1.75,2.435,3.1,2.33,,1.81,2,1,1,6.76,,3.42,2.9725,1.89,2,2.372727273
202,2019-11-25,2.806,2.46,2,4.23,2.413,3.75,2.4,3.95,1.716666667,2,,1,7.5,3.95,1.71,2.45,2.46,2,2.578181818
203,2019-12-02,2.82,2.448,3,2.05,2.516,2.73,2.46,3.8,1.625,1,1,1,2.69,3.8,1.65,2.82,2.713333333,2,2.438333333
204,2019-12-09,3.505,2.78,2,3.78,2.796,4.3,2.676666667,3.66,1.575,1,,1,4.3,7.66,1.66,3.505,2.53,1,2.885454545
205,2019-12-16,3.094,1.945,2,,2.769,4.42,2.42,3.16,2.1075,1,,1,4.13,,1.66,3.094,1.945,,2.769
206,2019-12-23,3.596666667,2.643333333,2,,2.977777778,3.64,2.84,3.87,1.745,2,,1,6.89,3.87,1.72,3.596666667,2.643333333,,2.977777778
207,2019-12-30,3.2025,3.25,3,3.78,2.905,3.41,2.813333333,3.993333333,1.78,1,1,1,4.11,9.05,1.76,3.2025,3.144,3,2.953571429
208,2020-01-06,3.196666667,2.6775,5,4.39,2.573571429,3.896666667,2.3725,4,1.83,3,1,2,11.69,4,1.68,2.958,2.6775,3,2.694666667
209,2020-01-13,3.425,2.716,3,2.18,2.995833333,4.355,2.79,4.06,1.765,1,1,1,4.16,4.91,1.78,3.425,2.85,2,2.933076923
210,2020-01-20,3.1725,3.073333333,3,,2.9325,4.165,2.51,5.39,2.206666667,1,1,1,4.12,5.39,1.65,3.1725,3.073333333,2,2.9325
211,2020-01-27,3.165,2.634,3,,2.573,3.23,2.45,3.93,1.63,1,1,1,3.23,3.93,1.44,3.165,2.634,2,2.573
212,2020-02-03,1.117,3.293333333,,,2.8634,2.2185,2.13,5.69,,1,,,1.117,5.69,,1.117,3.293333333,1,2.8634
213,2020-02-10,,3.183333333,,3.72,2.915,,2.11,3.72,,,,,,7.44,,,2.915,,3.183333333
214,2020-02-17,4.39,2.5475,,3.3,2.66,4.39,2.02,3.8,1.57,1,,,4.39,3.8,1.57,4.39,1.795,,2.916
215,2020-02-24,2.775,2.5375,3,,2.419166667,2.68,2.216666667,3.8,1.996666667,1,1,1,3.15,3.8,1.76,2.775,2.5375,3,2.419166667
216,2020-03-02,3.155,3.182,1,5.06,2.853,3.046666667,2.483333333,4.445,1.85,2,,,6.24,8.89,1.85,3.155,2.7125,1,3.053636364
217,2020-03-09,3.125,2.998333333,3,3.8,2.626,2.68,2.563333333,4.15,1.8,1,1,1,2.66,8.3,1.91,3.125,2.838,2,2.73
218,2020-03-16,3.526666667,2.66,3,3.8,2.6075,3.51,3.2,3.345,1.705,1,1,1,3.51,3.8,1.68,3.526666667,2.09,2,2.74
219,2020-03-23,3.42,1.9,3,,2.357142857,3.88,2.46,,1.57,1,1,1,3.88,,1.62,3.42,1.9,1,2.357142857
220,2020-03-30,2.31,2.25,4,,2.06,1.96,2.065,,1.595,1,1,2,1.96,,,2.31,2.25,2,2.06
221,2020-04-06,2.9625,3.98,3,,2.807777778,3.183333333,2.455,3.98,2.365,2,1,1,5.9,3.98,,2.9625,3.98,1,2.807777778
222,2020-04-13,2.36,3.2,3,,2.51,2.673333333,2.05,4.4,1.76,2,1,1,5.26,4.4,2,2.36,3.2,1,2.51
223,2020-04-20,2.2775,2.776666667,3,,2.378181818,2.49,2.33,4.1,1.673333333,1,1,1,2.41,4.1,1.8,2.2775,2.776666667,3,2.378181818
224,2020-04-27,2.063333333,3.98,3,,2.47375,2.67,2.16,3.98,1.65,1,1,1,1.82,3.98,,2.063333333,3.98,2,2.47375
225,2020-05-04,3.396666667,3.04,3,3.2,3.035454545,3.77,2.145,6.69,2.12,2,1,1,7.44,,,3.396666667,2.88,2,3.049166667
226,2020-05-11,2.6625,3.515,3,4,2.850833333,3.918,2.355,5.43,1.583333333,1,1,1,3.56,5.43,1.78,2.6625,3.353333333,2,3.100666667
227,2020-05-18,2.524,2.966666667,3,,2.636153846,3.35,2.12,4.355,1.683333333,1,1,1,3.63,4.84,1.79,2.524,2.966666667,2,2.706428571
228,2020-05-25,2.995,2.1,,,2.87,3.185,1.975,4.41,1.37,3,,,10.1,,,2.995,2.1,1,2.87
229,2020-06-01,2.5775,2.36,3,,2.477,3.875,2.385,,1.686666667,1,1,1,4.13,,2.05,2.5775,2.36,3,2.477
230,2020-06-08,2.448333333,3.1625,3,6.04,2.305,3.065,2.166666667,4.685,1.593333333,2,1,1,6.13,6.04,1.98,2.448333333,2.203333333,3,2.592307692
231,2020-06-15,2.595,1.905,3,,2.526923077,3.47,2.046666667,3.53,1.533333333,2,1,1,6.63,,1.67,2.595,1.905,2,2.526923077
232,2020-06-22,2.774285714,,3,,2.68,2.9225,1.99,3.69,2.253333333,1,1,1,2.69,,,2.774285714,,2,2.68
233,2020-06-29,2.688,2.59,3,,2.583636364,3.103333333,2.09,3.72,1.62,2,1,1,5.41,,,2.688,2.59,3,2.583636364
234,2020-07-06,2.761666667,2.9225,3,4.07,2.543333333,2.96,2.186666667,4.143333333,1.67,1,1,1,2.96,4.51,1.83,2.5,2.9225,3,2.660769231
235,2020-07-13,3.364,3.19,4,,3.153333333,4.035,2.043333333,3.946666667,1.64,2,1,1,8.96,3.77,,3.364,3.19,3,3.153333333
236,2020-07-20,2.285,3.45,3,,2.617,3.533333333,1.966666667,4.225,1.255,1,1,1,2.97,4.7,,2.285,3.45,1,2.733636364
237,2020-07-27,2.025,3.474,3,5.46,2.560769231,3.463333333,1.89,5.33,1.536666667,1,1,1,3.37,10.66,1.69,2.025,2.9775,3,2.767857143
238,2020-08-03,3.512,3.232,3,4.7,3.082,4.071666667,1.913333333,4.695,1.715,3,1,1,13.67,9.39,1.69,3.512,2.865,3,3.183125
239,2020-08-10,2.073333333,3.161428571,3,3.285,2.718461538,3.533333333,1.983333333,4.625,1.366666667,1,1,1,3.52,9.25,1.63,2.073333333,3.112,2,2.794
240,2020-08-17,2.626666667,3.026,3,4.3,2.544545455,3.36,2.27,4.41,1.65,1,1,1,3.41,8.82,1.59,2.626666667,2.7075,3,2.690833333
241,2020-08-24,2.12,2.6525,3,,2.548461538,3.3275,2.016666667,4.39,1.406666667,1,1,1,3.45,4.39,1.57,2.12,2.6525,2,2.548461538
242,2020-08-31,2.0525,2.843333333,3,3.19,2.385833333,3.75,1.89,4.37,1.413333333,1,1,1,3.35,8.74,1.62,2.0525,2.67,3,2.614
243,2020-09-07,2.665,2.812,3,4.25,2.532727273,3.24,2,4.125,1.63,1,1,1,3.35,8.25,1.44,2.665,2.4525,3,2.675833333
244,2020-09-14,2.173333333,3.102,3,4.75,2.555384615,3.24,1.856666667,4.915,1.585,1,1,1,3.16,9.83,1.51,2.173333333,2.69,2,2.712142857
245,2020-09-21,2.81,2.57375,3,2.38,2.743571429,3.226666667,1.716666667,4.015,1.503333333,3,1,1,9.59,8.03,2.81,3.056666667,2.628,2,2.662777778
246,2020-09-28,2.006666667,2.3725,3,,2.297272727,3.58,1.703333333,4.14,1.253333333,1,1,1,3.68,4.14,1.3,2.006666667,2.3725,2,2.297272727
247,2020-10-05,2.735,2.618,2,3.75,2.534545455,3.005,1.866666667,3.96,1.22,1,1,,3.4,7.92,1.22,2.735,2.335,2,2.635833333
248,2020-10-12,2.37,2.31875,3,2.1425,2.452666667,2.815,1.763333333,3.83,1.246666667,2,1,1,5.89,7.66,2.09,2.53,2.374,2,2.387368421
249,2020-10-19,2.485,2.718,1,4.29,2.730909091,3.4,1.696666667,4.36,1.11,1,,,3.19,8.72,1.11,2.485,2.325,1,2.860833333
250,2020-10-26,2.355,2.386666667,,2.95,2.447,2.902,1.425,4.185,1.105,1,,,3.17,8.37,2.21,2.355,2.105,1,2.530833333
251,2020-11-02,2.6025,2.371666667,3,3.05,2.34,2.9,1.663333333,4.8,1.22,2,1,1,6.97,4.8,1.06,2.17,2.406,3,2.423529412
252,2020-11-09,2.642,2.826666667,1,4.06,2.4425,3.336666667,1.593333333,5.03,1.105,3,,,10.61,10.06,1.06,2.26,2.2375,1,2.766
253,2020-11-16,3.104,2.142857143,2,2.358,2.706153846,3.284285714,2.293333333,3.585,1.226666667,3,,1,10.19,7.17,2.03,3.37,2.155,1,2.609444444
254,2020-11-23,3.183333333,2.403333333,,2.2,2.841111111,3.5025,1.425,4.43,1.03,2,,,8.01,8.86,2.06,3.183333333,2.505,1,2.724545455
255,2020-11-30,2.15,2.522,,4.12,2.298888889,3.003333333,1.44,3.945,1.08,1,,,3.26,7.89,1.08,2.15,2.1225,2,2.481
256,2020-12-07,3.14,2.634,,3.39,2.758571429,3.436666667,1.94,4.305,1.09,2,,,6.81,8.61,1.09,2.9,2.5025,1,2.898888889
257,2020-12-14,2.0675,2.08625,1,2.053333333,2.2875,3.383333333,1.395,3.53,1.3775,1,,1,3.15,7.06,1.99,2.0675,2.106,2,2.240666667
258,2020-12-21,3.03,1.8725,,3.68,2.4675,3.5425,1.47,3.18,0.98,3,,,10.36,3.18,0.98,2.813333333,1.8725,1,2.602222222
259,2020-12-28,2.605,1.95,,,2.2775,3.18,1.745,2.91,1.33,2,,,6.36,2.91,1.33,2.605,1.95,2,2.2775
